c,x,y,z,c2,x2,y2,z2
#001e62,-0.255,-0.287,0.384,,,,
#daac0d,0.583,0.553,0.855,,,,
#dd1d01,0.115,0.855,0.867,,,,
#db1d01,0.115,0.847,0.859,,,,
#da1d01,0.115,0.843,0.855,,,,
#d91d01,0.115,0.839,0.851,,,,
#dbae13,0.569,0.54,0.859,,,,
#d61d00,0.119,0.831,0.839,,,,
#d51d00,0.119,0.827,0.835,,,,
#d41d00,0.119,0.823,0.831,,,,
#d31d00,0.119,0.819,0.827,,,,
#d21d03,0.106,0.805,0.824,,,,
#d11d00,0.119,0.811,0.82,,,,
#d01d00,0.119,0.807,0.816,,,,
#cf1d00,0.119,0.803,0.812,,,,
#ce1d00,0.119,0.799,0.808,,,,
#cd1d00,0.119,0.795,0.804,,,,
#cc1d00,0.119,0.791,0.8,,,,
#cb1d07,0.09,0.763,0.796,,,,
#ca1d00,0.119,0.783,0.792,,,,
#c91d00,0.119,0.779,0.788,,,,
#c81d00,0.119,0.775,0.784,,,,
#c71d00,0.119,0.771,0.78,,,,
#c61d00,0.119,0.767,0.776,,,,
#c51d00,0.119,0.763,0.773,,,,
#c41d00,0.119,0.759,0.769,,,,
#c31d00,0.119,0.755,0.765,,,,
#c21d00,0.119,0.751,0.761,,,,
#c11d00,0.119,0.748,0.757,,,,
#00328d,-0.346,-0.431,0.553,,,,
#bf1d00,0.119,0.74,0.749,,,,
#be1d00,0.119,0.736,0.745,,,,
#bd1d01,0.115,0.728,0.741,,,,
#bc1d02,0.11,0.721,0.737,,,,
#bb1d05,0.098,0.707,0.733,,,,
#ba1d03,0.106,0.71,0.729,,,,
#b91d00,0.119,0.716,0.725,,,,
#b81d03,0.106,0.702,0.722,,,,
#b71d00,0.119,0.708,0.718,,,,
#b61d00,0.119,0.704,0.714,,,,
#b51d02,0.11,0.693,0.71,,,,
#b41d00,0.119,0.696,0.706,,,,
#b31d00,0.119,0.692,0.702,,,,
#b21d02,0.11,0.681,0.698,,,,
#b11d04,0.102,0.671,0.694,,,,
#b01d02,0.11,0.673,0.69,,,,
#af1d03,0.106,0.666,0.686,,,,
#ae1d03,0.106,0.662,0.682,,,,
#ac1d02,0.11,0.657,0.675,,,,
#ab1d03,0.106,0.65,0.671,,,,
#aa1d07,0.09,0.633,0.667,,,,
#a91d03,0.106,0.642,0.663,,,,
#a81d02,0.11,0.642,0.659,,,,
#a71d07,0.09,0.621,0.655,,,,
#a51d08,0.086,0.61,0.647,,,,
#a41d07,0.09,0.609,0.643,,,,
#a31d07,0.09,0.605,0.639,,,,
#a21d08,0.086,0.598,0.635,,,,
#00338d,-0.343,-0.434,0.553,,,,
#9f1d05,0.098,0.596,0.624,,,,
#004e14,0.215,-0.218,0.306,,,,
#9d1d07,0.09,0.581,0.616,,,,
#9c1d06,0.094,0.581,0.612,,,,
#9a1d09,0.082,0.563,0.604,,,,
#981d0a,0.078,0.551,0.596,,,,
#961d0c,0.07,0.537,0.588,,,,
#951d0c,0.07,0.533,0.584,,,,
#941d07,0.09,0.546,0.58,,,,
#931d0b,0.074,0.528,0.576,,,,
#921d0b,0.074,0.524,0.573,,,,
#911d0b,0.074,0.52,0.569,,,,
#901d0a,0.078,0.52,0.565,,,,
#8f1d0b,0.074,0.512,0.561,,,,
#b21c03,0.102,0.679,0.698,,,,
#ba1c03,0.102,0.71,0.729,,,,
#8c1d0b,0.074,0.5,0.549,,,,
#8b1d0b,0.074,0.497,0.545,,,,
#891d0b,0.074,0.489,0.537,,,,
#881d0c,0.07,0.481,0.533,,,,
#831d0b,0.074,0.465,0.514,,,,
#00144b,-0.204,-0.212,0.294,,,,
#004da9,-0.358,-0.558,0.663,,,,
#001c57,-0.222,-0.259,0.341,,,,
#deac01,0.628,0.597,0.871,,,,
#008c37,0.326,-0.442,0.549,,,,
#ae1c03,0.102,0.663,0.682,,,,
#a21c03,0.102,0.615,0.635,,,,
#c51c03,0.102,0.754,0.773,,,,
#0057b7,-0.375,-0.612,0.718,,,,
#01571b,0.225,-0.251,0.341,,,,
#004b16,0.198,-0.217,0.294,,,,
#0757b7,-0.373,-0.581,0.718,,,,
#007233,0.245,-0.374,0.447,,,,
#14763d,0.22,-0.315,0.463,,,,
#037233,0.244,-0.361,0.447,,,,
#006a22,0.271,-0.315,0.416,,,,
#339d6d,0.19,-0.37,0.616,,,,
#309d68,0.208,-0.373,0.616,,,,
#e1ae0b,0.601,0.586,0.882,,,,
#e3ae03,0.63,0.612,0.89,,,,
#e2ae17,0.559,0.567,0.886,,,,
#e23a25,0.086,0.736,0.886,,,,
#201d0b,0.064,0.051,0.125,,,,
#0a773d,0.226,-0.363,0.467,,,,
#004a13,0.204,-0.207,0.29,,,,
#00215c,-0.224,-0.282,0.361,,,,
#008938,0.312,-0.438,0.537,,,,
#7e1807,0.07,0.461,0.494,,,,
#7d1807,0.07,0.457,0.49,,,,
#091d35,-0.093,-0.145,0.208,,,,
#071d3d,-0.123,-0.172,0.239,,,,
#051d39,-0.109,-0.172,0.224,,,,
#041d45,-0.153,-0.204,0.271,,,,
#031d45,-0.153,-0.208,0.271,,,,
#021d46,-0.157,-0.215,0.275,,,,
#011d13,0.04,-0.102,0.114,,,,
#001d5e,-0.244,-0.276,0.369,,,,
#008833,0.325,-0.423,0.533,,,,
#df2909,0.131,0.829,0.875,,,,
#bf2b15,0.09,0.661,0.749,,,,
#801807,0.07,0.469,0.502,,,,
#a91803,0.086,0.645,0.663,,,,
#026823,0.26,-0.304,0.408,,,,
#002975,-0.289,-0.357,0.459,,,,
#da1c00,0.115,0.847,0.855,,,,
#d2a303,0.588,0.56,0.824,,,,
#d31c00,0.115,0.819,0.827,,,,
#d11c00,0.115,0.812,0.82,,,,
#d01c01,0.111,0.804,0.816,,,,
#cf1c01,0.111,0.8,0.812,,,,
#ce1c00,0.115,0.8,0.808,,,,
#cd1c00,0.115,0.796,0.804,,,,
#cc1c00,0.115,0.792,0.8,,,,
#cb1c00,0.115,0.788,0.796,,,,
#ca1c00,0.115,0.784,0.792,,,,
#c91c00,0.115,0.78,0.788,,,,
#c81c00,0.115,0.776,0.784,,,,
#c71c00,0.115,0.772,0.78,,,,
#c61c00,0.115,0.768,0.776,,,,
#c51c00,0.115,0.764,0.773,,,,
#c41c00,0.115,0.76,0.769,,,,
#c31c00,0.115,0.756,0.765,,,,
#c21c00,0.115,0.752,0.761,,,,
#c11c00,0.115,0.748,0.757,,,,
#c01c00,0.115,0.744,0.753,,,,
#bf1c00,0.115,0.74,0.749,,,,
#be1c00,0.115,0.736,0.745,,,,
#bd1c00,0.115,0.732,0.741,,,,
#bc1c01,0.11,0.725,0.737,,,,
#bb1c01,0.11,0.721,0.733,,,,
#ba1c01,0.11,0.717,0.729,,,,
#b91c01,0.11,0.713,0.725,,,,
#00266c,-0.266,-0.33,0.424,,,,
#b71c00,0.114,0.708,0.718,,,,
#b61c00,0.114,0.704,0.714,,,,
#b51c00,0.114,0.701,0.71,,,,
#b41c01,0.11,0.693,0.706,,,,
#b31c00,0.114,0.693,0.702,,,,
#b21c00,0.114,0.689,0.698,,,,
#b11c00,0.114,0.685,0.694,,,,
#b01c05,0.094,0.664,0.69,,,,
#0046b3,-0.418,-0.564,0.702,,,,
#ae1c02,0.106,0.666,0.682,,,,
#ab1c01,0.11,0.657,0.671,,,,
#aa1c01,0.11,0.653,0.667,,,,
#a91c01,0.11,0.65,0.663,,,,
#a81c01,0.11,0.646,0.659,,,,
#a21c04,0.098,0.612,0.635,,,,
#a11c04,0.098,0.608,0.631,,,,
#002b7d,-0.311,-0.379,0.49,,,,
#016935,0.204,-0.353,0.412,,,,
#0069cd,-0.393,-0.701,0.804,,,,
#00692d,0.232,-0.34,0.412,,,,
#9a1c06,0.09,0.573,0.604,,,,
#991c09,0.078,0.559,0.6,,,,
#00753b,0.228,-0.398,0.459,,,,
#971c07,0.086,0.558,0.592,,,,
#961c08,0.082,0.551,0.588,,,,
#951c08,0.082,0.547,0.584,,,,
#941c05,0.094,0.553,0.58,,,,
#931c08,0.082,0.539,0.576,,,,
#901c04,0.098,0.54,0.565,,,,
#8f1c09,0.078,0.52,0.561,,,,
#8e1c0b,0.07,0.509,0.557,,,,
#8d1c0b,0.07,0.505,0.553,,,,
#8c1c09,0.078,0.508,0.549,,,,
#8b1c09,0.078,0.504,0.545,,,,
#8a1c08,0.082,0.503,0.541,,,,
#891c0b,0.07,0.489,0.537,,,,
#881c0d,0.061,0.478,0.533,,,,
#871c0c,0.066,0.478,0.529,,,,
#811c0e,0.057,0.447,0.506,,,,
#00348c,-0.336,-0.434,0.549,,,,
#013494,-0.364,-0.447,0.58,,,,
#7d1c0b,0.07,0.442,0.49,,,,
#016421,0.253,-0.295,0.392,,,,
#001733,-0.109,-0.168,0.2,,,,
#de2205,0.119,0.843,0.871,,,,
#003311,0.129,-0.153,0.2,,,,
#479cdf,-0.265,-0.534,0.875,,,,
#002a78,-0.296,-0.366,0.471,,,,
#df2301,0.139,0.859,0.875,,,,
#da2301,0.139,0.84,0.855,,,,
#389c6f,0.178,-0.349,0.612,,,,
#cc2201,0.135,0.785,0.8,,,,
#b72105,0.114,0.689,0.718,,,,
#be2101,0.131,0.73,0.745,,,,
#b52109,0.098,0.667,0.71,,,,
#bc2105,0.114,0.708,0.737,,,,
#b32105,0.114,0.673,0.702,,,,
#b92105,0.114,0.697,0.725,,,,
#d32301,0.139,0.812,0.827,,,,
#b82109,0.098,0.679,0.722,,,,
#c12209,0.102,0.714,0.757,,,,
#0045b2,-0.418,-0.559,0.698,,,,
#0145ae,-0.403,-0.546,0.682,,,,
#0245a6,-0.373,-0.524,0.651,,,,
#0345a6,-0.373,-0.519,0.651,,,,
#cb2301,0.139,0.78,0.796,,,,
#d92001,0.127,0.838,0.851,,,,
#b72005,0.11,0.689,0.718,,,,
#be2001,0.127,0.73,0.745,,,,
#a6210d,0.082,0.594,0.651,,,,
#ac2109,0.098,0.632,0.675,,,,
#bc2005,0.11,0.709,0.737,,,,
#daac10,0.573,0.547,0.855,,,,
#0f9c50,0.296,-0.467,0.612,,,,
#a92109,0.098,0.62,0.663,,,,
#a3210d,0.082,0.583,0.639,,,,
#aa2109,0.098,0.624,0.667,,,,
#b12005,0.11,0.665,0.694,,,,
#089c59,0.265,-0.516,0.612,,,,
#061c32,-0.086,-0.149,0.196,,,,
#041c3b,-0.12,-0.179,0.231,,,,
#031c45,-0.157,-0.206,0.271,,,,
#011c3f,-0.136,-0.202,0.247,,,,
#001c5a,-0.233,-0.265,0.353,,,,
#016020,0.242,-0.284,0.376,,,,
#006024,0.229,-0.299,0.376,,,,
#e4b005,0.629,0.607,0.894,,,,
#e5b005,0.63,0.612,0.898,,,,
#cb2001,0.127,0.782,0.796,,,,
#e6b001,0.644,0.626,0.902,,,,
#bf2305,0.123,0.719,0.749,,,,
#b72309,0.106,0.674,0.718,,,,
#be2305,0.123,0.715,0.745,,,,
#ac2005,0.11,0.646,0.675,,,,
#b42309,0.106,0.662,0.706,,,,
#bc2309,0.106,0.694,0.737,,,,
#ddac14,0.561,0.554,0.867,,,,
#b22309,0.106,0.654,0.698,,,,
#ab2009,0.094,0.628,0.671,,,,
#a22009,0.094,0.593,0.635,,,,
#b92309,0.106,0.682,0.725,,,,
#d72101,0.131,0.829,0.843,,,,
#b82305,0.123,0.691,0.722,,,,
#c02005,0.11,0.725,0.753,,,,
#d02101,0.131,0.801,0.816,,,,
#002169,-0.271,-0.31,0.412,,,,
#015f21,0.235,-0.284,0.373,,,,
#da1b01,0.106,0.844,0.855,,,,
#ca2101,0.131,0.777,0.792,,,,
#b72205,0.119,0.688,0.718,,,,
#af2309,0.106,0.642,0.686,,,,
#d49b00,0.576,0.599,0.831,,,,
#d39b01,0.572,0.592,0.827,,,,
#d29b02,0.568,0.585,0.824,,,,
#bc2205,0.119,0.708,0.737,,,,
#d09b00,0.574,0.58,0.816,,,,
#cf9b0b,0.535,0.552,0.812,,,,
#ce1b00,0.111,0.8,0.808,,,,
#cd9b00,0.572,0.565,0.804,,,,
#cc1b00,0.111,0.792,0.8,,,,
#cb1b01,0.106,0.785,0.796,,,,
#ca1b01,0.106,0.781,0.792,,,,
#c91b00,0.111,0.78,0.788,,,,
#c81b00,0.111,0.776,0.784,,,,
#c71b00,0.111,0.773,0.78,,,,
#c61b00,0.111,0.769,0.776,,,,
#c51b00,0.11,0.765,0.773,,,,
#c41b00,0.11,0.761,0.769,,,,
#c31b00,0.11,0.757,0.765,,,,
#c21b00,0.11,0.753,0.761,,,,
#c11b00,0.11,0.749,0.757,,,,
#c01b00,0.11,0.745,0.753,,,,
#bf1b00,0.11,0.741,0.749,,,,
#be1b00,0.11,0.737,0.745,,,,
#bd1b00,0.11,0.733,0.741,,,,
#bc1b00,0.11,0.729,0.737,,,,
#bb1b00,0.11,0.725,0.733,,,,
#ba1b00,0.11,0.721,0.729,,,,
#b91b00,0.11,0.717,0.725,,,,
#b81b00,0.11,0.713,0.722,,,,
#b71b02,0.102,0.702,0.718,,,,
#b61b01,0.106,0.702,0.714,,,,
#b51b00,0.11,0.701,0.71,,,,
#b41b00,0.11,0.697,0.706,,,,
#b31b00,0.11,0.693,0.702,,,,
#b21b00,0.11,0.689,0.698,,,,
#b11b00,0.11,0.685,0.694,,,,
#b01b03,0.098,0.671,0.69,,,,
#003e9e,-0.368,-0.498,0.62,,,,
#ae1b00,0.11,0.673,0.682,,,,
#ac1b00,0.11,0.665,0.675,,,,
#ab1b00,0.11,0.661,0.671,,,,
#a91b01,0.106,0.65,0.663,,,,
#a81b02,0.102,0.643,0.659,,,,
#a71b02,0.102,0.639,0.655,,,,
#a51b06,0.086,0.618,0.647,,,,
#a41b02,0.102,0.627,0.643,,,,
#a11b02,0.102,0.615,0.631,,,,
#002371,-0.293,-0.332,0.443,,,,
#9e1b04,0.094,0.597,0.62,,,,
#9d1b08,0.078,0.579,0.616,,,,
#005118,0.213,-0.235,0.318,,,,
#9b1b02,0.102,0.591,0.608,,,,
#9a1b04,0.094,0.581,0.604,,,,
#991b04,0.094,0.577,0.6,,,,
#951b05,0.09,0.557,0.584,,,,
#941b09,0.074,0.54,0.58,,,,
#931b07,0.082,0.543,0.576,,,,
#901b05,0.09,0.538,0.565,,,,
#8f1b07,0.082,0.527,0.561,,,,
#8d1b0a,0.07,0.509,0.553,,,,
#8c1b09,0.074,0.508,0.549,,,,
#8b1b07,0.082,0.511,0.545,,,,
#8a1b09,0.074,0.5,0.541,,,,
#881b0b,0.066,0.486,0.533,,,,
#871b0b,0.066,0.482,0.529,,,,
#861b0a,0.07,0.481,0.525,,,,
#851b0d,0.057,0.467,0.522,,,,
#841b0d,0.057,0.463,0.518,,,,
#006425,0.24,-0.31,0.392,,,,
#014cad,-0.376,-0.56,0.678,,,,
#7e1b09,0.074,0.453,0.494,,,,
#004cad,-0.376,-0.565,0.678,,,,
#005c17,0.255,-0.255,0.361,,,,
#0d4c25,0.149,-0.197,0.298,,,,
#002771,-0.281,-0.343,0.443,,,,
#001d50,-0.194,-0.246,0.314,,,,
#025c27,0.204,-0.288,0.361,,,,
#d29f0d,0.541,0.551,0.824,,,,
#d49f01,0.584,0.586,0.831,,,,
#b22206,0.114,0.665,0.698,,,,
#1266c1,-0.356,-0.587,0.757,,,,
#419be6,-0.296,-0.575,0.902,,,,
#006625,0.248,-0.314,0.4,,,,
#010a03,0.026,-0.024,0.039,,,,
#001e52,-0.198,-0.253,0.322,,,,
#cb2a11,0.102,0.722,0.796,,,,
#030a03,0.024,-0.014,0.039,,,,
#007a2c,0.297,-0.375,0.478,,,,
#cc9f05,0.565,0.538,0.8,,,,
#2a9bea,-0.314,-0.684,0.918,,,,
#299b65,0.213,-0.393,0.608,,,,
#259b66,0.21,-0.412,0.608,,,,
#e02a01,0.167,0.858,0.878,,,,
#006725,0.251,-0.316,0.404,,,,
#dd2805,0.143,0.835,0.867,,,,
#169b5b,0.252,-0.457,0.608,,,,
#b8280d,0.11,0.661,0.722,,,,
#041b43,-0.152,-0.194,0.263,,,,
#031b43,-0.153,-0.199,0.263,,,,
#019b4d,0.306,-0.521,0.608,,,,
#001b5d,-0.247,-0.269,0.365,,,,
#013897,-0.362,-0.464,0.592,,,,
#003897,-0.363,-0.468,0.592,,,,
#be2100,0.135,0.733,0.745,,,,
#001842,-0.16,-0.203,0.259,,,,
#bd2206,0.114,0.708,0.741,,,,
#e5b108,0.622,0.603,0.898,,,,
#00581d,0.223,-0.263,0.345,,,,
#00399d,-0.381,-0.484,0.616,,,,
#017333,0.248,-0.372,0.451,,,,
#02732f,0.261,-0.358,0.451,,,,
#da1a01,0.102,0.845,0.855,,,,
#d91a02,0.098,0.837,0.851,,,,
#006f29,0.267,-0.344,0.435,,,,
#d39a00,0.573,0.597,0.827,,,,
#b42a0d,0.118,0.644,0.706,,,,
#d09a02,0.564,0.578,0.816,,,,
#cf1a01,0.102,0.801,0.812,,,,
#ce1a00,0.106,0.801,0.808,,,,
#cd9a0b,0.531,0.545,0.804,,,,
#cc1a00,0.106,0.793,0.8,,,,
#cb9a01,0.564,0.556,0.796,,,,
#ca9a02,0.56,0.549,0.792,,,,
#c99a00,0.567,0.548,0.788,,,,
#c81a00,0.106,0.777,0.784,,,,
#c71a01,0.102,0.77,0.78,,,,
#c61a00,0.106,0.769,0.776,,,,
#c51a00,0.106,0.765,0.773,,,,
#c41a00,0.106,0.761,0.769,,,,
#c31a01,0.102,0.754,0.765,,,,
#c21a00,0.106,0.753,0.761,,,,
#c11a00,0.106,0.749,0.757,,,,
#c01a00,0.106,0.745,0.753,,,,
#bf1a01,0.102,0.738,0.749,,,,
#be1a00,0.106,0.737,0.745,,,,
#bd1a01,0.102,0.73,0.741,,,,
#bc1a00,0.106,0.73,0.737,,,,
#bb1a00,0.106,0.726,0.733,,,,
#ba1a00,0.106,0.722,0.729,,,,
#b91a00,0.106,0.718,0.725,,,,
#b81a00,0.106,0.714,0.722,,,,
#b71a00,0.106,0.71,0.718,,,,
#b61a01,0.102,0.702,0.714,,,,
#b51a00,0.106,0.702,0.71,,,,
#b41a00,0.106,0.698,0.706,,,,
#b31a00,0.106,0.694,0.702,,,,
#b21a01,0.102,0.687,0.698,,,,
#b11a01,0.102,0.683,0.694,,,,
#b01a02,0.098,0.675,0.69,,,,
#af1a00,0.106,0.678,0.686,,,,
#ae1a01,0.102,0.671,0.682,,,,
#ad1a00,0.106,0.67,0.678,,,,
#ac1a00,0.106,0.666,0.675,,,,
#ab1a01,0.102,0.659,0.671,,,,
#aa1a00,0.106,0.658,0.667,,,,
#a91a04,0.09,0.641,0.663,,,,
#a61a02,0.098,0.636,0.651,,,,
#a41a01,0.102,0.631,0.643,,,,
#a31a01,0.102,0.627,0.639,,,,
#dfb108,0.618,0.573,0.875,,,,
#9a1a02,0.098,0.588,0.604,,,,
#005527,0.179,-0.281,0.333,,,,
#971a04,0.09,0.569,0.592,,,,
#961a03,0.094,0.569,0.588,,,,
#931a07,0.078,0.543,0.576,,,,
#911a08,0.074,0.532,0.569,,,,
#901a08,0.074,0.528,0.565,,,,
#8e1a06,0.082,0.527,0.557,,,,
#8b1a09,0.07,0.505,0.545,,,,
#8a1a08,0.074,0.504,0.541,,,,
#891a07,0.078,0.504,0.537,,,,
#881a0d,0.053,0.479,0.533,,,,
#871a09,0.07,0.489,0.529,,,,
#851a0a,0.066,0.478,0.522,,,,
#841a0b,0.061,0.471,0.518,,,,
#831a0a,0.065,0.47,0.514,,,,
#016726,0.248,-0.314,0.404,,,,
#006528,0.234,-0.319,0.396,,,,
#7c1a0b,0.061,0.439,0.486,,,,
#ac2108,0.102,0.635,0.675,,,,
#007434,0.248,-0.381,0.455,,,,
#027430,0.261,-0.363,0.455,,,,
#014fb1,-0.38,-0.576,0.694,,,,
#014bb1,-0.394,-0.567,0.694,,,,
#004fb5,-0.395,-0.59,0.71,,,,
#e4b105,0.632,0.604,0.894,,,,
#e5b109,0.619,0.601,0.898,,,,
#004ba9,-0.365,-0.553,0.663,,,,
#064f25,0.162,-0.236,0.31,,,,
#007334,0.245,-0.379,0.451,,,,
#e3b105,0.631,0.599,0.89,,,,
#00429f,-0.358,-0.51,0.624,,,,
#014297,-0.329,-0.488,0.592,,,,
#deb10d,0.6,0.558,0.871,,,,
#2d9a66,0.205,-0.375,0.604,,,,
#3d3109,0.147,0.141,0.239,,,,
#003590,-0.347,-0.445,0.565,,,,
#c51f02,0.119,0.755,0.773,,,,
#0151b1,-0.373,-0.581,0.694,,,,
#0059c0,-0.401,-0.637,0.753,,,,
#0051a9,-0.344,-0.567,0.663,,,,
#e6310d,0.147,0.838,0.902,,,,
#0b9a55,0.271,-0.491,0.604,,,,
#081a32,-0.093,-0.136,0.196,,,,
#071a33,-0.097,-0.143,0.2,,,,
#051a32,-0.094,-0.15,0.196,,,,
#e23119,0.098,0.782,0.886,,,,
#031a3e,-0.138,-0.186,0.243,,,,
#021a39,-0.12,-0.179,0.224,,,,
#011a53,-0.214,-0.24,0.325,,,,
#003085,-0.324,-0.409,0.522,,,,
#0052a8,-0.336,-0.566,0.659,,,,
#0150b6,-0.395,-0.59,0.714,,,,
#114b25,0.144,-0.176,0.294,,,,
#104b29,0.131,-0.191,0.294,,,,
#003189,-0.335,-0.42,0.537,,,,
#d9ad02,0.624,0.567,0.851,,,,
#00378e,-0.333,-0.446,0.557,,,,
#d19903,0.558,0.584,0.82,,,,
#d09900,0.568,0.585,0.816,,,,
#004f1b,0.197,-0.239,0.31,,,,
#ce9908,0.539,0.559,0.808,,,,
#cd990e,0.517,0.542,0.804,,,,
#cc9900,0.566,0.566,0.8,,,,
#ca990a,0.529,0.535,0.792,,,,
#c99906,0.543,0.539,0.788,,,,
#c7990b,0.524,0.518,0.78,,,,
#c61900,0.102,0.77,0.776,,,,
#c59903,0.551,0.525,0.773,,,,
#c31901,0.098,0.754,0.765,,,,
#c21900,0.102,0.754,0.761,,,,
#c11900,0.102,0.75,0.757,,,,
#0052b7,-0.392,-0.601,0.718,,,,
#bf1900,0.102,0.742,0.749,,,,
#0146ae,-0.399,-0.548,0.682,,,,
#bd1900,0.102,0.734,0.741,,,,
#bc1900,0.102,0.73,0.737,,,,
#bb1900,0.102,0.726,0.733,,,,
#ba1900,0.102,0.722,0.729,,,,
#b91900,0.102,0.718,0.725,,,,
#b81900,0.102,0.714,0.722,,,,
#b71900,0.102,0.71,0.718,,,,
#b61900,0.102,0.706,0.714,,,,
#b51900,0.102,0.702,0.71,,,,
#b41900,0.102,0.698,0.706,,,,
#b31900,0.102,0.694,0.702,,,,
#b21900,0.102,0.691,0.698,,,,
#b11902,0.094,0.68,0.694,,,,
#b01901,0.098,0.679,0.69,,,,
#af1902,0.094,0.672,0.686,,,,
#ae1900,0.102,0.675,0.682,,,,
#ad1900,0.102,0.671,0.678,,,,
#ac1900,0.102,0.667,0.675,,,,
#a71901,0.098,0.644,0.655,,,,
#a51903,0.09,0.629,0.647,,,,
#a11900,0.102,0.623,0.631,,,,
#0053b3,-0.374,-0.594,0.702,,,,
#016128,0.219,-0.306,0.38,,,,
#9e1901,0.098,0.608,0.62,,,,
#0061c8,-0.403,-0.673,0.784,,,,
#016d29,0.259,-0.335,0.427,,,,
#9b1903,0.09,0.589,0.608,,,,
#026130,0.192,-0.32,0.38,,,,
#931908,0.07,0.541,0.576,,,,
#921904,0.086,0.55,0.573,,,,
#911906,0.078,0.54,0.569,,,,
#901905,0.082,0.539,0.565,,,,
#8f1907,0.074,0.528,0.561,,,,
#8a190a,0.061,0.498,0.541,,,,
#881906,0.078,0.504,0.533,,,,
#871907,0.074,0.497,0.529,,,,
#86190b,0.057,0.479,0.525,,,,
#851909,0.066,0.482,0.522,,,,
#841908,0.07,0.481,0.518,,,,
#831909,0.066,0.474,0.514,,,,
#821905,0.082,0.483,0.51,,,,
#007435,0.245,-0.383,0.455,,,,
#7f190a,0.061,0.455,0.498,,,,
#006d31,0.233,-0.358,0.427,,,,
#004ca7,-0.354,-0.551,0.655,,,,
#014ca3,-0.339,-0.537,0.639,,,,
#1375c9,-0.332,-0.632,0.788,,,,
#ddad02,0.627,0.587,0.867,,,,
#001324,-0.067,-0.124,0.141,,,,
#fdda5c,0.461,0.431,0.992,,,,
#0d562b,0.166,-0.234,0.337,,,,
#0056b3,-0.363,-0.601,0.702,,,,
#002e73,-0.265,-0.365,0.451,,,,
#014aaa,-0.371,-0.549,0.667,,,,
#249965,0.206,-0.41,0.6,,,,
#0057bf,-0.404,-0.631,0.749,,,,
#015d2a,0.198,-0.302,0.365,,,,
#006b35,0.212,-0.362,0.42,,,,
#035d2e,0.184,-0.301,0.365,,,,
#e3af08,0.615,0.599,0.89,,,,
#061937,-0.115,-0.154,0.216,,,,
#021938,-0.12,-0.175,0.22,,,,
#01193a,-0.127,-0.184,0.227,,,,
#003891,-0.341,-0.455,0.569,,,,
#0148ad,-0.389,-0.551,0.678,,,,
#c9990d,0.518,0.524,0.788,,,,
#0048a5,-0.36,-0.538,0.647,,,,
#cf9909,0.536,0.562,0.812,,,,
#e63815,0.143,0.807,0.902,,,,
#dfaf08,0.613,0.579,0.875,,,,
#0147ac,-0.389,-0.546,0.675,,,,
#d49800,0.567,0.608,0.831,,,,
#d29800,0.566,0.598,0.824,,,,
#0047a4,-0.36,-0.533,0.643,,,,
#ce9801,0.56,0.576,0.808,,,,
#cc9807,0.538,0.554,0.8,,,,
#cb9801,0.559,0.562,0.796,,,,
#ca9800,0.562,0.559,0.792,,,,
#c99800,0.561,0.554,0.788,,,,
#c79801,0.556,0.542,0.78,,,,
#c61801,0.094,0.767,0.776,,,,
#d82609,0.119,0.803,0.847,,,,
#c01800,0.098,0.746,0.753,,,,
#bf1800,0.098,0.743,0.749,,,,
#be1800,0.098,0.739,0.745,,,,
#bd1800,0.098,0.735,0.741,,,,
#bc1800,0.098,0.731,0.737,,,,
#bb1800,0.098,0.727,0.733,,,,
#ba1800,0.098,0.723,0.729,,,,
#b91800,0.098,0.719,0.725,,,,
#b81801,0.094,0.711,0.722,,,,
#b71800,0.098,0.711,0.718,,,,
#b61800,0.098,0.707,0.714,,,,
#b51800,0.098,0.703,0.71,,,,
#b41800,0.098,0.699,0.706,,,,
#b31800,0.098,0.695,0.702,,,,
#b21800,0.098,0.691,0.698,,,,
#b11800,0.098,0.687,0.694,,,,
#b01800,0.098,0.683,0.69,,,,
#af1800,0.098,0.679,0.686,,,,
#ae1800,0.098,0.675,0.682,,,,
#ad1800,0.098,0.671,0.678,,,,
#ac1800,0.098,0.667,0.675,,,,
#ab1801,0.094,0.66,0.671,,,,
#aa1800,0.098,0.659,0.667,,,,
#a91800,0.098,0.655,0.663,,,,
#a81800,0.098,0.651,0.659,,,,
#a71800,0.098,0.647,0.655,,,,
#a61800,0.098,0.644,0.651,,,,
#a51800,0.098,0.64,0.647,,,,
#9f1800,0.098,0.616,0.624,,,,
#00491d,0.169,-0.231,0.286,,,,
#00459f,-0.348,-0.517,0.624,,,,
#971802,0.09,0.577,0.592,,,,
#951803,0.086,0.566,0.584,,,,
#931804,0.082,0.555,0.576,,,,
#8f1806,0.074,0.532,0.561,,,,
#014517,0.173,-0.203,0.271,,,,
#891805,0.078,0.512,0.537,,,,
#88180d,0.045,0.48,0.533,,,,
#d8a80f,0.564,0.551,0.847,,,,
#84180a,0.057,0.475,0.518,,,,
#83180a,0.057,0.471,0.514,,,,
#821806,0.074,0.481,0.51,,,,
#811808,0.065,0.47,0.506,,,,
#0054c3,-0.429,-0.633,0.765,,,,
#7f1806,0.074,0.469,0.498,,,,
#0154bf,-0.414,-0.619,0.749,,,,
#7d1809,0.061,0.451,0.49,,,,
#c01f01,0.123,0.739,0.753,,,,
#dca80f,0.566,0.571,0.863,,,,
#00439e,-0.351,-0.51,0.62,,,,
