c,x,y,z,c2,x2,y2,z2
#0047b0,-0.404,-0.56,0.69,,,,
#1b77c9,-0.323,-0.601,0.788,,,,
#007134,0.237,-0.374,0.443,,,,
#1777d3,-0.361,-0.643,0.827,,,,
#1477ce,-0.343,-0.644,0.808,,,,
#1377d9,-0.385,-0.674,0.851,,,,
#f8c80c,0.686,0.622,0.973,,,,
#0e77c9,-0.325,-0.657,0.788,,,,
#0d773a,0.236,-0.342,0.467,,,,
#0a77cc,-0.337,-0.682,0.8,,,,
#0977cd,-0.341,-0.689,0.804,,,,
#067734,0.258,-0.36,0.467,,,,
#057737,0.248,-0.372,0.467,,,,
#047739,0.241,-0.381,0.467,,,,
#02773d,0.228,-0.398,0.467,,,,
#01772a,0.292,-0.359,0.467,,,,
#00772a,0.293,-0.364,0.467,,,,
#00782e,0.283,-0.376,0.471,,,,
#003c8e,-0.317,-0.458,0.557,,,,
#003895,-0.355,-0.464,0.584,,,,
#01783a,0.242,-0.399,0.471,,,,
#ed766b,0.045,0.508,0.929,,,,
#006723,0.258,-0.311,0.404,,,,
#005725,0.193,-0.281,0.341,,,,
#014eb4,-0.394,-0.581,0.706,,,,
#004eb0,-0.38,-0.576,0.69,,,,
#bb7603,0.439,0.572,0.733,,,,
#ba7601,0.446,0.572,0.729,,,,
#b6760a,0.412,0.534,0.714,,,,
#044e24,0.163,-0.24,0.306,,,,
#b2760a,0.411,0.515,0.698,,,,
#084e28,0.148,-0.231,0.306,,,,
#026723,0.257,-0.302,0.404,,,,
#017939,0.249,-0.399,0.475,,,,
#007935,0.263,-0.395,0.475,,,,
#00752e,0.272,-0.369,0.459,,,,
#067939,0.248,-0.377,0.475,,,,
#017532,0.259,-0.374,0.459,,,,
#00142c,-0.093,-0.145,0.173,,,,
#003884,-0.294,-0.426,0.518,,,,
#003485,-0.311,-0.419,0.522,,,,
#dbab01,0.623,0.585,0.859,,,,
#ac1f04,0.11,0.65,0.675,,,,
#002560,-0.226,-0.301,0.376,,,,
#0053bf,-0.418,-0.622,0.749,,,,
#002265,-0.254,-0.304,0.396,,,,
#2576c6,-0.314,-0.548,0.776,,,,
#2476c7,-0.318,-0.555,0.78,,,,
#0055be,-0.408,-0.624,0.745,,,,
#1e76c9,-0.326,-0.586,0.788,,,,
#003983,-0.286,-0.426,0.514,,,,
#003180,-0.302,-0.401,0.502,,,,
#1676ca,-0.331,-0.623,0.792,,,,
#065526,0.181,-0.252,0.333,,,,
#07552a,0.167,-0.256,0.333,,,,
#0e7634,0.252,-0.321,0.463,,,,
#dbac05,0.612,0.574,0.859,,,,
#057634,0.254,-0.363,0.463,,,,
#047631,0.265,-0.36,0.463,,,,
#037637,0.245,-0.379,0.463,,,,
#017630,0.269,-0.372,0.463,,,,
#0050b4,-0.388,-0.59,0.706,,,,
#0e502c,0.14,-0.218,0.314,,,,
#007034,0.234,-0.372,0.439,,,,
#027038,0.219,-0.372,0.439,,,,
#003086,-0.327,-0.411,0.525,,,,
#0051b8,-0.399,-0.601,0.722,,,,
#004fa6,-0.34,-0.555,0.651,,,,
#e0af00,0.641,0.6,0.878,,,,
#007230,0.255,-0.367,0.447,,,,
#006f34,0.23,-0.37,0.435,,,,
#dfaf10,0.585,0.563,0.875,,,,
#deaf10,0.584,0.558,0.871,,,,
#004eb6,-0.402,-0.59,0.714,,,,
#ddaf08,0.611,0.569,0.867,,,,
#dcaf04,0.625,0.572,0.863,,,,
#b37506,0.422,0.531,0.702,,,,
#b17509,0.411,0.515,0.694,,,,
#006e35,0.223,-0.369,0.431,,,,
#d3af08,0.604,0.518,0.827,,,,
#007330,0.258,-0.37,0.451,,,,
#997517,0.35,0.371,0.6,,,,
#e4ad04,0.624,0.618,0.894,,,,
#056e2d,0.249,-0.328,0.431,,,,
#e2ad00,0.637,0.616,0.886,,,,
#0054b8,-0.389,-0.608,0.722,,,,
#015c29,0.198,-0.297,0.361,,,,
#005cc5,-0.409,-0.655,0.773,,,,
#dbad04,0.618,0.573,0.859,,,,
#dead00,0.634,0.596,0.871,,,,
#006c2e,0.24,-0.349,0.424,,,,
#d9ad08,0.603,0.555,0.851,,,,
#d8ad08,0.602,0.55,0.847,,,,
#002c75,-0.279,-0.364,0.459,,,,
#d1ad04,0.611,0.522,0.82,,,,
#0055b4,-0.371,-0.601,0.706,,,,
